"Table S1 List of all DE genes in all pairwise age comparisons, as well as in the main LRT. In the pairwise tests, only genes that were also significant in the LRT were kept. In all tests, q-values represent FDR-corrected p-values.",,,,,,,,,
,,,,,,,,,
,,LRT,,20d vs. 5d,,30d vs. 5d,,40d vs. 5d,
Gene,Mean,p-value,q-value,log2 FC,q-value,log2 FC,q-value,log2 FC,q-value
hfw,983.2198645,7.50E-05,0.00081251,0.499101432,0.086800825,0.853883451,0.000367005,0.219145215,0.50272159
CG4467,4648.399873,7.56E-05,0.00081874,-0.362526688,0.411279702,-0.715885139,0.029505758,0.391943043,0.306772742
28SrRNA-Psi:CR45851,41.00463794,7.63E-05,0.000824689,1.48996497,0.000536632,0.947740907,0.035667131,0.461459732,0.426644993
GckIII,1052.112732,7.71E-05,0.000833051,-0.484012536,0.044411455,-0.456585872,0.038959191,-0.754708106,0.000188221
Cisd2,1134.597955,7.73E-05,0.000833805,-0.145035934,0.57154571,-0.160258648,0.450359383,-0.606111065,0.000176743
Hr46,464.6957375,7.73E-05,0.000833805,-0.207158499,0.713064637,-0.833509061,0.017507731,0.424281724,0.300496995
mRpL12,336.0523681,7.75E-05,0.000834737,-0.244410378,0.408140725,-0.116530107,0.701022757,-0.766163139,0.000227796
Sclp,142.8003087,7.87E-05,0.000847202,1.897583287,0.002737497,2.080023259,0.00041172,2.138561263,0.000220597
CG43729,4030.334795,7.89E-05,0.000848066,-0.275027475,0.478220057,-0.417713138,0.164883063,0.472901484,0.110493171
kek6,1600.54305,7.93E-05,0.000851157,-0.417252069,0.287163587,-0.613554144,0.05235172,0.385390094,0.282824671
sano,697.5834333,7.98E-05,0.000855942,-0.447877539,0.123795671,-0.800022535,0.000723032,-0.687032492,0.004571114
Rab26,1018.969489,8.04E-05,0.000861359,-0.336803545,0.269252689,-0.687890481,0.003420988,0.105575211,0.767511712
Psc,327.3323635,8.06E-05,0.00086251,-0.451353834,0.050616113,-0.68659668,0.000472896,-0.521202439,0.012159843
CG12170,282.270217,8.07E-05,0.000862962,-0.575765194,0.024215033,-0.009701639,0.979696339,-0.64356376,0.005903369
CG32100,293.6135239,8.10E-05,0.000865032,-0.500537616,0.021663824,-0.362341888,0.085043075,-0.693358053,0.000316904
Idgf1,2766.892549,8.11E-05,0.000865032,1.243947754,0.001570291,1.182539841,0.00170389,0.542267303,0.226862655
alpha-Cat,2979.055702,8.10E-05,0.000865032,-0.076872698,0.732529733,-0.229528491,0.12206866,0.253072148,0.087031552
CG7414,5627.507255,8.31E-05,0.000884918,0.006453603,0.991480809,0.430130787,0.171239577,-0.601196387,0.042085784
CG5703,1010.09577,8.38E-05,0.000891637,-0.355316861,0.176995277,-0.257593623,0.311216856,-0.780245966,0.000119118
RpS30,6502.422133,8.39E-05,0.000892244,0.33178052,0.163096634,0.526139269,0.007093544,-0.094107356,0.746755042
CG9368,808.9499231,8.43E-05,0.000896062,-0.2776587,0.197622982,-0.628564284,0.000165045,-0.20665742,0.327423957
CG1552,6764.288203,8.45E-05,0.000896637,-0.114593439,0.805288352,-0.350938253,0.255027249,-0.912955777,0.000279001
CG32699,1623.076493,8.49E-05,0.000898756,0.303742999,0.400325506,0.314157726,0.315319563,0.908625368,0.00024691
Dcr-2,1457.995203,8.49E-05,0.000898756,0.429364654,0.049437307,0.622481246,0.000834855,0.611805931,0.000960321
Ect3,722.3983208,8.48E-05,0.000898756,0.193598864,0.770544071,0.370203153,0.447500039,1.249020743,0.000789339
CG2316,3029.346573,8.51E-05,0.000899999,-0.028117132,0.926935673,-0.117148435,0.569101063,0.39040483,0.012680115
snoRNA:Psi28S-1175a,130.1992297,8.59E-05,0.000907193,1.720063738,0.000434099,0.655255552,0.25340356,1.148841055,0.023609643
beat-Ia,443.3246831,8.61E-05,0.000908355,-0.62692917,0.013600347,-0.740959844,0.001309298,-0.208257944,0.495884253
Mnn1,3968.471317,8.75E-05,0.000921914,-0.216540784,0.501220175,-0.640706279,0.00335214,0.117761446,0.716704965
CG4612,3456.199194,8.79E-05,0.000925568,-0.242060644,0.438731138,-0.688599706,0.001578762,0.052505105,0.889317929
CG6701,1916.672709,8.82E-05,0.000928336,0.654744666,0.098192849,1.052165884,0.001364365,1.129118802,0.000417245
SA,852.7952724,8.90E-05,0.000935188,-0.417562456,0.00333608,-0.308836542,0.026948024,-0.038337072,0.862508856
CG13609,38.83044985,8.93E-05,0.000937337,-1.867030327,0.001390027,-1.075574436,0.0554348,-0.223528292,0.779665592
PGRP-SA,585.5789107,8.98E-05,0.0009423,2.050185854,0.01409198,2.788330772,0.000165266,2.789325015,0.000125999
uex,3558.346157,9.02E-05,0.000945728,0.286158812,0.372432291,0.174997114,0.580193756,0.793854672,0.000416222
CG42343,540.2549497,9.04E-05,0.000946645,-0.707328256,0.063890681,-0.878382524,0.008393072,0.104785469,0.842191101
CG9640,73.48495667,9.07E-05,0.000948469,0.150661564,0.83845072,0.689732146,0.104290573,1.265588991,0.000727778
CG11050,3239.528035,9.13E-05,0.000953367,0.291159317,0.15360944,0.119722862,0.598112592,-0.308106597,0.094921612
CG14141,1582.18081,9.13E-05,0.000953367,-0.016851713,0.97770686,-0.270446848,0.459409462,-0.962135005,0.000558909
sty,3231.864939,9.17E-05,0.000955977,0.501616838,0.006003309,0.234404901,0.242269508,0.560389172,0.000768951
Thiolase,2107.423455,9.18E-05,0.000956043,0.46171627,0.133620577,0.439726248,0.112992545,-0.340681836,0.261835768
CG14786,640.5327972,9.29E-05,0.00096701,-0.301782593,0.571152399,0.79808299,0.026528922,-0.195202573,0.704778138
CR45533,60.10928889,9.30E-05,0.000967116,-0.855819247,0.144899574,-1.530365429,0.001580674,-1.409591457,0.004447685
CG34394,3583.079613,9.49E-05,0.000981622,0.14189743,0.593468787,0.041381552,0.885328816,0.546511886,0.001086268
CG7639,395.1693247,9.46E-05,0.000981622,-0.634794804,0.006843062,-0.634902422,0.003783037,-0.61078893,0.00605248
RhoGAPp190,4026.048895,9.49E-05,0.000981622,-0.360830747,0.266796903,-0.53942962,0.040216393,0.291235598,0.345203157
Spred,3922.519304,9.48E-05,0.000981622,-0.218256655,0.516739414,-0.51633108,0.028040128,0.281224157,0.305050793
Taf4,2714.623791,9.48E-05,0.000981622,0.071122069,0.78207458,0.029494737,0.90949345,0.460983497,0.001400807
Tomosyn,5279.302955,9.49E-05,0.000981622,-0.380675845,0.177514103,-0.520700757,0.027797124,0.213747667,0.472137832
Su(Tpl),4028.821105,9.53E-05,0.000984049,0.262313546,0.174051894,0.162900936,0.401001372,0.547355626,0.000233712
CG13993,291.2968427,9.58E-05,0.000987877,0.333838464,0.335788771,-0.00972107,0.982062056,-0.64486815,0.019548158
ctp,11808.39201,9.58E-05,0.000987877,-0.22980809,0.209413657,-0.515487498,0.000254801,-0.130624607,0.493951672
fs(1)N,14.94749222,9.65E-05,0.000993645,-7.431089517,0.002792873,-0.790797207,0.781324116,-6.317962725,0.00895873
CG4238,1003.351026,9.73E-05,0.001001511,-0.95181512,0.002705909,-0.867758924,0.004357502,-0.364870276,0.32421943
rush,2434.48761,9.77E-05,0.001003932,0.588347174,0.00830473,0.65613397,0.001429512,0.668225451,0.001004452
Dscam3,1638.602084,9.80E-05,0.001006432,-0.081828745,0.898741348,-0.147025893,0.763680636,0.844996212,0.011177643
Awh,107.8527824,9.83E-05,0.001008096,-0.903756897,0.049694638,-1.077910387,0.008079405,0.091191275,0.892412286
NimC1,1011.293203,9.83E-05,0.001008096,0.87808329,0.032363127,1.346068033,0.000130108,0.80137847,0.038631701
Dg,2076.270335,9.88E-05,0.001011455,-0.07319943,0.874899044,-0.27133896,0.365399834,0.554053951,0.030235193
cbt,2168.31711,9.89E-05,0.001011513,-0.106938998,0.791938942,-0.242458664,0.401300416,-0.804843905,0.000313072
CG42708,505.9125366,9.96E-05,0.001018329,-0.708994149,0.007580891,-0.763531881,0.001937555,-0.258362116,0.411712436
CG9395,1316.239827,0.000100296,0.001023744,-0.616149163,0.036052912,-0.827342747,0.00127389,-0.149619722,0.694075251
SoYb,59.0793661,0.000100334,0.001023744,0.481759134,0.415523319,0.900103867,0.03684415,1.428125419,0.00025868
Scgdelta,424.621242,0.000100572,0.001025209,-0.340885692,0.32242834,-0.568159299,0.035235903,0.30668846,0.326481891
Dyb,1781.045215,0.000101211,0.001030757,-0.03933424,0.901488698,-0.092300844,0.690913281,0.421821307,0.010440996
CG31687,50.36451992,0.000102033,0.001037172,-1.607443789,0.005889511,-0.195103633,0.802250827,0.382496178,0.578664749
CG7916,18.81080447,0.000101994,0.001037172,-5.170934684,0.026892379,1.935376493,0.270719787,2.254939852,0.191024995
CG43367,2193.729547,0.00010322,0.001047281,-0.419636786,0.121196838,-0.111436001,0.736710546,0.383174029,0.128322569
Gtp-bp,1173.286124,0.000103152,0.001047281,0.153212047,0.790920062,0.938260748,0.004723569,-0.09444758,0.862508856
CG7781,8076.088765,0.00010333,0.001047414,-0.466443561,0.064684767,-0.677206711,0.001628791,-0.652142287,0.00232431
CG7834,2848.686097,0.000103741,0.001050592,0.27138469,0.585806996,0.173155351,0.712548234,-0.840808374,0.011008315
para,6756.122889,0.000104594,0.001058245,0.074337068,0.912024787,-0.198132681,0.685565835,0.902136437,0.009407741
RpLP2,15013.52625,0.00010487,0.001060048,0.276043257,0.347139735,0.300467946,0.234355155,-0.407040197,0.088160433
5-HT1A,833.7791449,0.000105079,0.001061167,-0.504875597,0.139082406,-0.957775424,0.000470667,-0.154799378,0.709228479
CG7686,4074.724871,0.0001059,0.001068463,0.074699389,0.839814952,-0.110510086,0.704868205,-0.609945309,0.002128199
CG4080,667.9905224,0.000106956,0.001078118,-0.183325486,0.546320859,0.310824759,0.166399694,0.480499561,0.020014537
l(2)k14505,359.760207,0.000107122,0.001078783,-0.157944679,0.549381374,-0.133325448,0.565909323,-0.629698725,0.000252255
CG7668,782.1442795,0.000107236,0.001078928,1.220060483,0.003283451,1.054852514,0.008627043,1.386820137,0.000245663
CG1732,5030.545957,0.000107428,0.001079857,-0.807877245,0.034083125,-1.164037458,0.000411785,-0.71809799,0.046576763
Axn,1068.378206,0.000109395,0.001098614,-0.327878537,0.071238425,-0.258455822,0.132602895,0.170780372,0.377806857
RpL35A,7173.876202,0.000109769,0.001101354,0.442730417,0.216780294,0.555195502,0.067316609,-0.372997721,0.27362719
Gsc,34.12020511,0.000109871,0.001101356,-1.596432219,0.006932808,-1.246881353,0.02350814,-0.050333552,0.957726834
tun,1355.690397,0.000110445,0.001106085,-0.414962568,0.136007644,-0.690584442,0.002397107,0.015640409,0.970770868
snoRNA:SC35-a,826.2783925,0.000110698,0.001107592,0.534752099,0.24116486,0.305182324,0.509597068,-0.730751751,0.057916043
CG42493,16.72556827,0.000111033,0.001109916,-3.966125808,0.009709271,-0.482129331,0.747017094,0.844116212,0.521509643
CG4768,771.9617363,0.00011133,0.001111861,0.098831773,0.681120383,0.003046484,0.989544957,0.456893272,0.001530213
Ric,5044.793928,0.000111697,0.001114506,-0.334816229,0.110003099,-0.630433381,0.000187512,-0.310110328,0.111669799
Irk2,3707.020275,0.000111963,0.001116131,-0.244048298,0.463025491,-0.280999803,0.310502938,-0.829012005,0.000163192
Rpb12,460.7347935,0.000112246,0.001117924,0.759175559,0.007580891,0.373871623,0.227338413,-0.103472518,0.808062108
CG2218,865.07842,0.00011235,0.00111793,0.030504315,0.925267668,0.406112006,0.013862016,0.45274463,0.005341128
CG1275,2376.252962,0.000112574,0.001119135,-0.595523018,0.001872138,-0.346285502,0.081666364,-0.532116841,0.00386612
CG7638,729.2053926,0.000112799,0.001120339,-0.394236628,0.020220911,-0.231541473,0.1815232,-0.525546911,0.000446814
cype,2268.436316,0.000113331,0.001124593,-0.15650168,0.698780277,-0.270496931,0.370137733,-0.860794525,0.000255438
CG13650,1206.766877,0.000113845,0.001127828,-0.684462949,0.017784934,-0.88489392,0.000580581,-0.525543088,0.064736782
RpL13A,13834.245,0.000113865,0.001127828,0.187111195,0.672512691,0.298862172,0.375221606,-0.639096023,0.024870478
wash,335.3321564,0.000113973,0.001127864,-0.216297758,0.482260888,0.216947774,0.401310016,-0.537280875,0.015432622
beat-Ic,968.7793876,0.000114312,0.001130182,-0.534903639,0.149316518,-0.938115698,0.001815778,0.004088273,0.993328564
Epac,3588.556923,0.000114887,0.001134833,-0.585307456,0.083545086,-0.815163881,0.004827574,0.045581992,0.928614346
zfh1,2060.864409,0.000115091,0.001135817,0.567996657,0.014165723,0.588560399,0.006021695,0.732449886,0.000331668
CG8909,5612.892731,0.000115759,0.001141372,-0.807428553,0.023830667,-0.989544368,0.001948066,-0.187139595,0.69061506
CG1998,1538.317856,0.000115991,0.001142621,-0.181019801,0.582041458,-0.080032066,0.808619127,-0.725559943,0.000447478
Atg3,1443.757154,0.000116285,0.001144469,0.162794287,0.518412731,0.41642669,0.015879482,-0.168508001,0.442562577
l(1)G0255,1535.867434,0.000116603,0.001146562,-0.443368225,0.044039,-0.005987282,0.985347392,-0.543175985,0.005060811
CG12950,1806.353868,0.000117847,0.001157743,-0.407841399,0.226432319,-0.75643741,0.004620925,0.112347911,0.783739057
nej,4874.445058,0.000119314,0.001171095,-0.22268997,0.586449015,-0.230556123,0.504012586,0.576331726,0.040868393
PGRP-SC1b,11.13846163,0.000119777,0.001174569,0.947242104,0.87572939,3.891774349,0.255959237,8.569887872,0.001816179
dpr15,581.7200695,0.000121514,0.001190529,-0.644043695,0.072085779,-1.093022612,0.000247517,-0.490402358,0.1635551
CG43980,27.60193943,0.000121925,0.001193477,-4.805224346,0.090485443,3.893341739,0.051299301,1.164939198,0.673741446
CG10326,1227.556,0.000122158,0.001193598,-0.230256355,0.334758767,-0.463900229,0.010648023,-0.591269239,0.000652328
Cyp309a1,685.7929862,0.000122139,0.001193598,1.619140032,0.004640328,1.958109737,0.000179519,1.200167053,0.036385948
dpr,936.6212847,0.000125727,0.001227371,-0.577224565,0.128340805,-1.124642183,0.000213272,-0.399142652,0.291402674
CG2909,248.9260818,0.00012596,0.001227825,0.692716012,0.107136134,0.918617217,0.011775182,1.277329424,0.000173979
fat-spondin,3185.783977,0.000126001,0.001227825,0.225013437,0.706753265,1.078799959,0.002818043,0.02327372,0.972203323
Mid1,2499.068972,0.000126196,0.001228621,-0.765290638,0.078606368,-1.137072621,0.002053708,-0.053264322,0.935170765
Camta,1905.862639,0.000126976,0.001234004,-0.331217556,0.323683396,-0.651912036,0.011007427,0.193988093,0.569801886
Cyp4d1,28.91619301,0.000126904,0.001234004,1.462495677,0.102812304,2.635912515,0.000173819,1.95805354,0.009671955
toc,4419.244973,0.000127184,0.001234912,-0.587175436,0.027302942,-0.61372491,0.011723546,0.014715432,0.973579445
CG12107,385.8833621,0.000128558,0.001247135,0.05246921,0.918700883,-0.007716674,0.985906299,-0.799820218,0.002107496
CG14853,2789.50606,0.000129154,0.001251804,-0.29302762,0.255708364,-0.524850046,0.009818011,0.132595647,0.636459755
Non2,1108.779139,0.000129277,0.001251877,-0.065392074,0.828531672,-0.219300295,0.260506133,-0.563350306,0.000489293
Act88F,55.09286367,0.000131432,0.001271608,-2.056944612,0.032872877,-2.966695119,0.000509931,-1.045764534,0.309993442
Atpalpha,58453.31301,0.000131639,0.001272469,-0.732328167,0.025862816,-1.001679607,0.00050652,-0.565873773,0.079070708
CG9616,15.89650851,0.000133813,0.001292166,-6.702091845,0.00095739,-0.871305529,0.639986707,0.321385837,0.886070745
Cyp6d2,219.7265556,0.000133915,0.001292166,2.146428004,0.012095609,2.990039233,7.69E-05,2.493842046,0.001214156
CG11029,656.8052843,0.000135139,0.001302817,-0.923504765,0.715517526,4.235126021,0.005717308,1.954942267,0.286392485
pncr009:3L,24.11431397,0.000136561,0.001315359,0.044165552,0.969269403,-0.025033629,0.978337104,-2.079453361,0.001401277
CG14231,138.8611022,0.000137462,0.001322856,-0.282099421,0.469857565,0.466079253,0.095587251,0.563889153,0.041374744
FoxP,1001.153017,0.000137662,0.001323612,0.033128805,0.951783216,-0.491025778,0.089407013,0.469938754,0.11280967
CG3921,650.0526538,0.000137904,0.001324762,0.418573249,0.594278659,1.338845522,0.009253945,1.598717703,0.001228929
edin,53.49702445,0.000138151,0.001325414,-1.295073576,0.584100359,-0.193943109,0.941178523,3.427624303,0.025788334
mRpL1,433.6215504,0.000138217,0.001325414,-0.082664706,0.83608138,-0.515168637,0.02258088,-0.664840106,0.002310658
CG15721,47.20421618,0.000138456,0.001326535,3.990440787,0.045696926,4.199409257,0.019489147,6.771422148,2.92E-05
gw,6859.069455,0.000139195,0.001332437,-0.187349733,0.464787709,-0.360659191,0.055595238,0.24143027,0.253522043
l(1)G0230,3182.324557,0.000139416,0.001333373,-0.191201721,0.626237514,-0.354561038,0.215553833,-0.868630962,0.00025868
CG12769,1173.740277,0.000139568,0.001333646,-0.628932686,0.093303449,-0.868963428,0.006466788,0.078669768,0.883749724
mRpL2,460.0847381,0.000140527,0.001341632,-0.346901039,0.260832944,-0.366179104,0.173154694,-0.868473916,0.000163713
CG9436,841.1834067,0.000141274,0.001347577,-0.030639916,0.956098923,0.115548607,0.781324116,-0.808871693,0.003141233
Fife,5195.103174,0.000142244,0.00135563,-0.374354898,0.21698333,-0.562837117,0.023596563,0.209345819,0.508416826
Osi24,52.63103806,0.000142559,0.00135744,-0.873829914,0.592043921,2.425886604,0.018269873,2.016486411,0.06206093
Uhg1,307.8413539,0.000142687,0.00135747,1.074562565,0.002157992,0.594331469,0.108667457,1.062736836,0.001288428
esc,108.8903687,0.000143493,0.001363937,-0.151173842,0.828080455,0.162815159,0.774585016,1.032853347,0.005557809
CG43066,3762.120176,0.000144157,0.001369045,-0.623032622,0.120113915,-1.170530157,0.000289417,-0.356053876,0.396255256
stmA,4931.233329,0.000146184,0.001387087,-0.449226469,0.100844332,-0.685361732,0.002730692,-0.698983863,0.001947224
CG33469,25.68424464,0.000147258,0.001395082,3.029983631,0.013055888,3.142344422,0.005237182,4.237559585,4.91E-05
Cip4,2191.321683,0.000147284,0.001395082,-0.085317193,0.667474267,-0.266867487,0.038755772,0.167382548,0.253174091
VGAT,986.4609989,0.000147583,0.00139669,-0.744133384,0.063479458,-1.122697231,0.00096246,-0.209649746,0.674507458
dys,175.365419,0.000147921,0.001398664,1.583673794,0.00413176,1.264587622,0.019539569,1.857947096,0.00020164
CG12163,4763.397956,0.000148686,0.001404676,0.218102389,0.32235803,0.524868793,0.001224703,0.46617773,0.004643375
CG10383,1581.896156,0.000148875,0.001405239,1.470605694,0.013002684,1.920413427,0.00027859,1.731023984,0.001120537
CalpC,130.0683102,0.000149407,0.001409031,0.093573618,0.901488698,0.947515739,0.013928008,1.063165989,0.004972943
CadN2,1072.464122,0.000150643,0.001418956,-0.668742164,0.075524342,-0.863204058,0.008224825,0.078285397,0.885926329
Cbp20,241.3635123,0.000150722,0.001418956,-0.274485887,0.376159623,-0.202386587,0.481376798,-0.820421926,0.000237948
CG15153,6.14911915,0.000150908,0.00141948,0.947252259,0.856775994,6.049400442,NA,7.218256088,0.002081368
Corin,2293.457603,0.000153308,0.001438346,-0.26534803,0.630395766,-0.483589968,0.232853763,0.653579752,0.08747527
Trap1,979.4351457,0.000153212,0.001438346,-0.59896085,0.002112472,-0.242671179,0.270306369,-0.503674109,0.008184856
beat-Vc,274.0326215,0.000153312,0.001438346,-0.694612184,0.036824909,-0.995881081,0.000542514,-0.571627062,0.074740434
CG42867,35.2631571,0.000156843,0.001470197,2.764442196,0.000532675,1.834234387,0.02666283,2.539040667,0.00099551
CG34393,503.5593025,0.000159129,0.001490337,-0.723320779,0.023582058,-0.927425942,0.001099122,-0.307032681,0.397812945
Bap55,357.7609571,0.000160307,0.001500074,-0.12195439,0.717013328,-0.194502836,0.44869185,-0.711499121,0.000401894
Oatp30B,2011.841105,0.000162221,0.001516678,0.350405,0.23896506,0.810228444,0.00032061,0.507363512,0.039223702
CR44458,37.85669966,0.000163207,0.001524577,-0.812577973,0.265880153,-1.625656169,0.005202861,-1.771485128,0.002649807
ade3,3473.884072,0.000163569,0.001526646,1.357828685,0.011749402,1.397856985,0.005237182,0.238520595,0.7511178
CG31712,1819.452793,0.000163849,0.00152794,-0.160503966,0.64062667,-0.471931292,0.038066754,0.283448083,0.274613943
kis,12750.33697,0.000164786,0.001535362,-0.09947006,0.838704369,-0.254253656,0.45206939,0.60075586,0.032312281
CG12547,1541.905914,0.00016601,0.001545437,-0.215398071,0.475408796,-0.163674407,0.553619662,0.433317368,0.050201145
CG12162,634.6814344,0.00016638,0.001546219,-0.504735561,0.007041158,-0.228917473,0.263590657,-0.533255291,0.002156471
Dlc90F,960.48195,0.000166332,0.001546219,0.294174048,0.259534245,0.094742464,0.750267738,-0.421480695,0.053876724
CG42261,1269.055348,0.000167203,0.001552262,-0.616793232,0.067688506,-0.963323502,0.000709454,-0.238889668,0.537031934
kug,3164.827835,0.000167317,0.001552262,-0.470143435,0.205271442,-0.384960548,0.270306369,0.448984124,0.189240182
CG15784,8869.923147,0.000168102,0.001556879,3.522784114,0.000400146,3.590850771,0.00015791,3.66947184,7.70E-05
CG17364,1340.218261,0.000168018,0.001556879,-0.453500462,0.085151532,-0.645987227,0.003940625,-0.00142578,0.996107195
CG11030,1051.29044,0.000168776,0.001561788,-0.305562507,0.205988501,-0.451120527,0.023596563,0.161947892,0.525649325
CG16885,9.04183752,0.000169017,0.001562689,-7.002847118,0.001342375,-2.518993787,NA,-3.062535521,0.089820047
CSN8,120.8896105,0.000171214,0.001581651,0.608388138,0.117135069,0.061835392,0.914154365,-0.596251052,0.117843809
Fer1,312.7164124,0.000172098,0.001588465,-0.843357725,0.004561605,-0.816528847,0.003599906,-0.410186035,0.210908317
CG9084,44.22833211,0.000174517,0.001609418,-6.570410844,0.006605228,2.156221943,0.291565159,1.625496884,0.468855779
